词语,频次
亿元,1
西藏,1
港澳台,1
资产负债率,1
能源,1
中国专利,1
就业人口,1
就业,1
工业统计,1
职工,1
平均工资,1
贷款,1
国家统计局,1
官方网站,1
存款,1
北京大学,1
中心,1
联合,1
蚂蚁,1
金服,1
编制,1
万名,1
专利,1
授权,1
投入,1
固定资产,1
全时,1
当量,1
Wind,1
能耗,1
标准煤,1
EPS,1
文化,1
设施,1
每万,1
体育,1
占地面积,1
千名,1
老人,1
拥有,1
养老,1
床位数,1
个千人,1
生产总值,1
全民,1
个数,1
3.1,1
污染,1
工业污染,1
投资额,1
废物利用,1
废弃物,1
利用率,1
判断,1
需先,1
莫兰指,1
能源消耗,1
工业用水,1
万立方米,1
若莫兰,1
城市绿化,1
覆盖面积,1
城镇,1
后续,1
最低,1
一步,1
计算公式,1
城镇居民,1
农村居民,1
第三产业,1
高端,1
制造业,1
贫困,1
人口数,1
步骤,1
方差,1
公式,1
极值,1
法对,1
中正,1
观测,1
无量,1
纲化,1
同向化,1
插值法,1
补齐,1
标准化,1
客观,1
期内,1
全国,1
指数分布,1
权法,1
时间推移,1
指数值,1
研究成果,1
覆盖,1
增大,1
态势,1
三个,1
趋势,1
评估,1
空间布局,1
传动,1
劳动密集,1
经济社会,1
动力,1
两个,1
将产,1
0.311,1
1.305,1
2017,1
1.731,1
2012,1
1.183,1
2018,1
0.469,1
泰尔,1
2013,1
0.093,1
1.043,1
1.615,1
第二产业,1
2014,1
0.143,1
0.539,1
2.538,1
2015,1
0.179,1
1.443,1
2021,1
0.556,1
1.677,1
0.187,1
0.921,1
1.576,1
10%,1
因变量,1
遗漏,1
引发,1
偏差,1
3.2,1
省级,1
财政支出,1
率以,1
143,1
内部,1
管理水平,1
产品质量,1
扩展,1
渠道,1
举债,1
周期,1
较长,1
回报,1
公共设施,1
资金周转,1
短时间,1
未能,1
即本,1
数在,1
率越,1
落后,1
生产方式,1
第三,1
引进,1
学历,1
地方,1
力向,1
新质,1
跨越,1
0.516,1
2.236,1
2.101,1
第四,1
0.956,1
0.842,1
1.255,1
1.175,1
0.854,1
0.823,1
4.127,1
1.723,1
更好,1
先进,1
0.549,1
0.577,1
国外,1
龙头企业,1
合作,1
5.103,1
2.243,1
1.429,1
1.323,1
3.245,1
3.035,1
3.3,1
下述,1
方式,1
限于,1
篇幅,1
0.468,1
5.483,1
列出,1
0.682,1
代入,1
回归系数,1
内为,1
验证,1
上文,1
真实性,1
可靠性,1
直观,1
解析,1
借助,1
偏微分,1
法将,1
前文,1
所用,1
邻近,1
替换,1
三大,1
更换,1
见表,1
响系,1
略有,1
文研,1
可靠,1
3.4,1
划分,1
0.961,1
3.056,1
3.282,1
0.937,1
1.879,1
0.144,1
0.052,1
0.196,1
0.863,1
1.805,1
3.130,1
0.147,1
3.277,1
0.601,1
0.500,1
1.101,1
4.163,1
4.289,1
平较,1
产品,1
1.026,1
1.056,1
2.082,1
3.301,1
1.741,1
3.379,1
0.357,1
0.408,1
4.023,1
5.445,1
4.115,1
0.544,1
0.661,1
0.673,1
144,1
致使,1
其三,1
相比,1
0.343,1
0.433,1
0.344,1
有待,1
4.605,1
4.028,1
4.022,1
4.652,1
4.026,1
然较,1
背后,1
经济学,1
原理,1
0.330,1
4.017,1
0.306,1
2.452,1
1.141,1
0.935,1
0.714,1
0.609,1
0.811,1
0.762,1
3.656,1
3.033,1
4.139,1
3.222,1
2.232,1
4.378,1
3.031,1
3.047,1
4.097,1
4.088,1
0.327,1
0.316,1
0.321,1
0.308,1
0.898,1
0.055,1
0.615,1
0.799,1
0.056,1
5.064,1
4.049,1
4.443,1
4.669,1
4.897,1
0.884,1
0.796,1
0.668,1
0.734,1
0.766,1
质性,1
中部,1
西部,1
依次,1
递减,1
格局,1
几个,1
给出,1
立足,1
辐射,1
带动,1
逐步提高,1
助益,1
大力支持,1
专精,1
特新,1
强化,1
部署,1
重点,1
薄弱环节,1
为实,1
小于,1
基石,1
高级,1
步伐,1
纵深,1
一是,1
技术改造,1
经营,1
销售,1
时代,1
革新,1
产物,1
实行,1
分类,1
管理制度,1
深化,1
信贷,1
错配,1
削弱,1
抑制效应,1
供给,1
特色,1
区政府,1
建议,1
实施,1
政策,1
财政拨款,1
等方,1
逐步推进,1
落实,1
帮扶,1
专家学者,1
进驻,1
实地,1
调研,1
145,1
弥合,1
鸿沟,1
东数,1
西算,1
工程,1
搭建,1
业务,1
蒙恬,1
姚聪莉,1
一体化,1
运营,1
加大,1
赫国胜,1
刘璇,1
西安,1
力度,1
潜能,1
缩小,1
交通,1
差距,1
袁刚,1
温圣军,1
晶晶,1
政务,1
资源整合,1
与关,1
进路,1
电子政务,1
参考文献,1
崔耕瑞,1
西南,1
民族,1
人文,1
朱瑞博底,1
刘芸,1
着力,1
上海,1
43,1
田杰棠,1
春花,1
王阿娜,1
首都,1
贸易大学,1
42,1
25,1
王永钦,1
高鑫,1
袁志刚,1
泡沫,1
陆岷峰,1
运行,1
综述,1
广西,1
金昌,1
史龙梅,1
徐蔼婷,1
夏杰长,1
江西,1
郭朝,1
先方,1
澳新,1
基建,1
生成,1
逻辑,1
张成思,1
策略,1
新疆师范大学,1
哲学,1
姚登宝,1
俞旭海,1
沈阳,1
师应来,1
赵一帆,1
肖烯岚,1
杨军,1
中州,1
学刊,1
39,1
责任编辑,1
李林汉,1
韩明,1
希侯毅苇,1
面板,1
门槛,1
华东,1
GMM,1
Digital,1
Finance,1
Upgrading,1
Industrial,1
Structure,1
High,1
Development,1
Real,1
Economy,1
LiMin1,1
CollegeofEconomicsandManagement,1
NortheastForestryUniversity,1
Harbin150040,1
SchoolofFinanceandTrade,1
HarbinFinanceUniversity,1
Harbin150030,1
Abstract,1
Thispaperselects30provincesinChinafrom2011to2022asresearchobjecttoempiricallyexaminetheimpact,1
ofdigitalfinanceonthehigh,1
qualitydevelopmentoftherealeconomyanditsmechanism,1
Theresearchresultsgoasfollows,1
Digi,1
talfinancecansignificantlyimprovethehigh,1
qualitydevelopmentleveloftherealeconomy,1
andhasasignificantpositivespatial,1
spillovereffectonneighboringregions,1
Theregionalheterogeneitytestshowsthatdigitalfinancehasasignificantenablingeffect,1
onthehigh,1
qualitydevelopmentofthelocalrealeconomyinthethreeregionsandtheneighboringregions,1
butitsimpactonthe,1
local,1
regions,1
is,1
higher,1
than,1
neighboring,1
re,1
gions,1
Theimpactofdigitalfinanceonthehigh,1
qualitydevelopmentoftherealeconomyischaracterizedbytheheterogeneityof,1
eastern,1
The,1
mechanism,1
test,1
confirms,1
rationalization,1
upgrading,1
industrial,1
structure,1
are,1
key,1
transmission,1
mechanisms,1
for,1
digital,1
finance,1
to,1
release,1
dividends,1
Keywords,1
digitalfinance,1
qualitydevelopmentoftherealeconomy,1
industrialstructureupgrading,1
spatialeconomet,1
ricmodel,1
146,1
